Bop ERP,Bop ERP
Sales Channel,Canal de Ventas
Transaction Origin,Origen de Transacción
External ID Mapping,Mapeo de ID Externo
Integration Event,Evento de Integración
Bop ERP Settings,Configuración de Bop ERP
Channel ID,ID de Canal
Channel Name,Nombre del Canal
Channel Type,Tipo de Canal
Company,Compañía
Active,Activo
External Entity Type,Tipo de Entidad Externa
External ID,ID Externo
External Variant ID,ID de Variante Externa
ERP DocType,DocType de ERP
ERP Document,Documento de ERP
Active External Key,Clave Externa Activa
Active ERP Key,Clave ERP Activa
Event ID,ID del Evento
Direction,Dirección
Provider,Proveedor
Entity Type,Tipo de Entidad
Operation,Operación
Status,Estado
Replay Of,Replay de
Correlation ID,ID de Correlación
Idempotency Key,Clave de Idempotencia
Payload Hash,Hash del Payload
Worker / Claim Token,Trabajador / Token de Reclamo
Processing Token,Token de Procesamiento
Lease Expires At,Expiración del Arriendo
Attempt Count,Número de Intentos
Max Attempts,Intentos Máximos
Next Retry At,Próximo Reintento
Processing Started At,Inicio de Procesamiento
Processing Finished At,Fin de Procesamiento
Last Error Code,Último Código de Error
Last Error At,Último Error En
Last Error Message,Último Mensaje de Error
Request Metadata,Metadatos de Solicitud
Response Metadata,Metadatos de Respuesta
Active Idempotency Key,Clave de Idempotencia Activa
Execution & Retries,Ejecución y Reintentos
Error Tracking,Seguimiento de Errores
Metadata & Audit,Metadatos y Auditoría
System Constraints,Restricciones del Sistema
RECEIVED,RECIBIDO
PENDING,PENDIENTE
PROCESSING,PROCESANDO
SUCCEEDED,EXITOSO
FAILED,FALLIDO
RETRY_PENDING,REINTENTO PENDIENTE
DEAD_LETTER,BUZÓN MUERTO
CANCELLED,CANCELADO
INBOUND,ENTRANTE
OUTBOUND,SALIENTE
Received,Recibido
Pending,Pendiente
Processing,Procesando
Succeeded,Exitoso
Failed,Fallido
Retry Pending,Reintento Pendiente
Dead Letter,Buzón Muerto
Cancelled,Cancelado
"Channel ID '{0}' is invalid. Only uppercase letters, numbers, hyphens, and underscores are allowed.","El ID de Canal '{0}' no es válido. Solo se permiten letras mayúsculas, números, guiones y guiones bajos."
Channel ID cannot be modified from '{0}' to '{1}' because it is already referenced in transactions or external mappings. You may update Channel Name or disable the channel instead.,El ID de Canal no puede modificarse de '{0}' a '{1}' porque ya está referenciado en transacciones o mapeos externos. Puede actualizar el Nombre del Canal o desactivar el canal en su lugar.
Sales Channel '{0}' cannot be deleted because it is referenced in transactions or external mappings. You may uncheck 'Active' to disable it instead.,El Canal de Ventas '{0}' no puede eliminarse porque está referenciado en transacciones o mapeos externos. Puede desmarcar 'Activo' para desactivarlo en su lugar.
External ID exceeds maximum allowed length of {0} characters (received {1}).,El ID Externo excede la longitud máxima permitida de {0} caracteres (se recibieron {1}).
External Variant ID exceeds maximum allowed length of {0} characters (received {1}).,El ID de Variante Externa excede la longitud máxima permitida de {0} caracteres (se recibieron {1}).
External Variant ID is required when External Entity Type is 'PRODUCT_VARIANT'.,El ID de Variante Externa es obligatorio cuando el Tipo de Entidad Externa es 'PRODUCT_VARIANT'.
External Variant ID is only permitted for 'PRODUCT_VARIANT'. Entity type '{0}' must not have an External Variant ID.,El ID de Variante Externa solo está permitido para 'PRODUCT_VARIANT'. El tipo de entidad '{0}' no debe tener un ID de Variante Externa.
Linked ERP Document {0} '{1}' does not exist in the database.,El Documento de ERP vinculado {0} '{1}' no existe en la base de datos.
